mes,categoria,valor
Janeiro,Folha de Pagamento,658260
Janeiro,Insumos A&B,190164
Janeiro,Energia/Água,175536
Janeiro,Manutenção,117024
Janeiro,Comissões OTA,102396
Janeiro,Lavanderia,73140
Janeiro,Marketing,58512
Janeiro,Amenities,43884
Janeiro,Seguros/Taxas,43884
Fevereiro,Folha de Pagamento,623340
Fevereiro,Insumos A&B,180076
Fevereiro,Energia/Água,166224
Fevereiro,Manutenção,110816
Fevereiro,Comissões OTA,96964
Fevereiro,Lavanderia,69260
Fevereiro,Amenities,55408
Fevereiro,Marketing,41556
Fevereiro,Seguros/Taxas,41556
Março,Folha de Pagamento,531225
Março,Insumos A&B,153465
Março,Energia/Água,141660
Março,Manutenção,94440
Março,Comissões OTA,82635
Março,Lavanderia,59025
Março,Marketing,47220
Março,Amenities,35415
Março,Seguros/Taxas,35415
Abril,Folha de Pagamento,587520
Abril,Insumos A&B,169728
Abril,Energia/Água,156672
Abril,Manutenção,104448
Abril,Comissões OTA,91392
Abril,Lavanderia,65280
Abril,Marketing,52224
Abril,Amenities,39168
Abril,Seguros/Taxas,39168
Maio,Folha de Pagamento,488385
Maio,Insumos A&B,141089
Maio,Energia/Água,130236
Maio,Manutenção,86824
Maio,Comissões OTA,75971
Maio,Marketing,65118
Maio,Lavanderia,43412
Maio,Amenities,27133
Maio,Seguros/Taxas,27133
