data,tipo,canal,tipo_quarto,valor,noites,hospedes
02/01/2026,hospedagem,Booking,Standard,855,3,2
02/01/2026,hospedagem,Direto,Superior,1660,4,2
03/01/2026,hospedagem,CVC,Standard,570,2,3
03/01/2026,hospedagem,Expedia,Luxo,2340,4,2
04/01/2026,hospedagem,Direto,Standard,1140,4,2
05/01/2026,hospedagem,Booking,Superior,830,2,2
06/01/2026,hospedagem,Agência,Standard,1425,5,4
07/01/2026,hospedagem,Direto,Suíte Master,4750,5,2
08/01/2026,hospedagem,Booking,Standard,570,2,2
08/01/2026,hospedagem,CVC,Superior,2490,6,2
09/01/2026,hospedagem,Direto,Luxo,1755,3,2
10/01/2026,hospedagem,Expedia,Standard,855,3,2
11/01/2026,hospedagem,Direto,Standard,1710,6,4
12/01/2026,hospedagem,Booking,Superior,1245,3,2
13/01/2026,hospedagem,CVC,Luxo,1170,2,2
14/01/2026,hospedagem,Direto,Standard,570,2,2
15/01/2026,hospedagem,Agência,Superior,2075,5,3
16/01/2026,hospedagem,Booking,Standard,1140,4,2
17/01/2026,hospedagem,Direto,Suíte Master,2850,3,2
18/01/2026,hospedagem,Expedia,Standard,855,3,2
19/01/2026,hospedagem,CVC,Standard,1425,5,4
20/01/2026,hospedagem,Direto,Luxo,3510,6,2
21/01/2026,hospedagem,Booking,Superior,830,2,2
22/01/2026,hospedagem,Direto,Standard,1140,4,2
23/01/2026,hospedagem,Agência,Standard,570,2,2
24/01/2026,hospedagem,Booking,Luxo,1170,2,2
25/01/2026,hospedagem,CVC,Superior,1245,3,3
26/01/2026,hospedagem,Direto,Suíte Master,6650,7,2
27/01/2026,hospedagem,Expedia,Standard,855,3,2
28/01/2026,hospedagem,Direto,Standard,1710,6,4
29/01/2026,hospedagem,Booking,Superior,2490,6,2
30/01/2026,hospedagem,CVC,Standard,855,3,2
31/01/2026,hospedagem,Direto,Luxo,1170,2,2
05/01/2026,ab,Direto,,,12850,,
10/01/2026,ab,Direto,,,15420,,
15/01/2026,ab,Direto,,,14280,,
20/01/2026,ab,Direto,,,16100,,
25/01/2026,ab,Direto,,,13950,,
31/01/2026,ab,Direto,,,11600,,
08/01/2026,spa,Direto,,,4820,,
16/01/2026,spa,Direto,,,5280,,
24/01/2026,spa,Direto,,,4950,,
12/01/2026,eventos,Direto,,,8500,,
19/01/2026,eventos,Direto,,,12500,,
26/01/2026,eventos,Direto,,,6800,,
07/01/2026,loja,Direto,,,2450,,
14/01/2026,loja,Direto,,,1980,,
21/01/2026,loja,Direto,,,2100,,
28/01/2026,loja,Direto,,,1850,,
