data,tipo,canal,tipo_quarto,valor,noites,hospedes
02/05/2026,hospedagem,Booking,Standard,675,3,2
03/05/2026,hospedagem,Direto,Superior,1240,4,2
04/05/2026,hospedagem,Expedia,Standard,450,2,2
05/05/2026,hospedagem,Booking,Standard,900,4,2
07/05/2026,hospedagem,CVC,Luxo,1740,4,2
08/05/2026,hospedagem,Direto,Standard,450,2,2
09/05/2026,hospedagem,Booking,Standard,675,3,2
10/05/2026,hospedagem,Expedia,Superior,620,2,2
12/05/2026,hospedagem,Booking,Standard,1125,5,3
13/05/2026,hospedagem,Direto,Standard,450,2,2
14/05/2026,hospedagem,CVC,Standard,900,4,2
15/05/2026,hospedagem,Booking,Suíte Master,2880,4,2
16/05/2026,hospedagem,Expedia,Standard,675,3,2
18/05/2026,hospedagem,Direto,Superior,930,3,2
19/05/2026,hospedagem,Booking,Standard,450,2,2
20/05/2026,hospedagem,Agência,Standard,1125,5,4
21/05/2026,hospedagem,Direto,Luxo,870,2,2
22/05/2026,hospedagem,Booking,Standard,675,3,2
24/05/2026,hospedagem,CVC,Standard,450,2,2
25/05/2026,hospedagem,Expedia,Superior,1860,6,2
26/05/2026,hospedagem,Direto,Standard,900,4,2
28/05/2026,hospedagem,Booking,Standard,450,2,2
29/05/2026,hospedagem,Agência,Standard,675,3,2
31/05/2026,hospedagem,Direto,Standard,1125,5,3
05/05/2026,ab,Direto,,,7200,,
12/05/2026,ab,Direto,,,6850,,
19/05/2026,ab,Direto,,,6400,,
26/05/2026,ab,Direto,,,5950,,
31/05/2026,ab,Direto,,,4800,,
10/05/2026,spa,Direto,,,2150,,
20/05/2026,spa,Direto,,,1850,,
30/05/2026,spa,Direto,,,1600,,
08/05/2026,eventos,Direto,,,9500,,
17/05/2026,eventos,Direto,,,8200,,
25/05/2026,eventos,Direto,,,7800,,
06/05/2026,loja,Direto,,,1280,,
16/05/2026,loja,Direto,,,980,,
26/05/2026,loja,Direto,,,840,,
