data,tipo,canal,tipo_quarto,valor,noites,hospedes
02/03/2026,hospedagem,Booking,Standard,720,3,2
03/03/2026,hospedagem,Direto,Superior,1340,4,2
04/03/2026,hospedagem,Booking,Standard,480,2,2
05/03/2026,hospedagem,CVC,Luxo,1840,4,2
07/03/2026,hospedagem,Expedia,Standard,1200,5,3
08/03/2026,hospedagem,Direto,Standard,480,2,2
09/03/2026,hospedagem,Booking,Superior,670,2,2
10/03/2026,hospedagem,Agência,Standard,960,4,2
11/03/2026,hospedagem,Expedia,Standard,720,3,2
12/03/2026,hospedagem,Direto,Luxo,920,2,2
14/03/2026,hospedagem,Booking,Standard,1440,6,4
15/03/2026,hospedagem,CVC,Superior,1005,3,2
16/03/2026,hospedagem,Direto,Standard,480,2,2
17/03/2026,hospedagem,Booking,Standard,720,3,2
19/03/2026,hospedagem,Direto,Suíte Master,3120,4,2
20/03/2026,hospedagem,Expedia,Standard,960,4,2
21/03/2026,hospedagem,Agência,Superior,670,2,2
23/03/2026,hospedagem,Booking,Standard,480,2,2
24/03/2026,hospedagem,CVC,Luxo,1380,3,2
25/03/2026,hospedagem,Direto,Standard,720,3,2
27/03/2026,hospedagem,Booking,Superior,1340,4,3
28/03/2026,hospedagem,Direto,Standard,960,4,2
30/03/2026,hospedagem,Expedia,Standard,480,2,2
31/03/2026,hospedagem,CVC,Standard,720,3,2
05/03/2026,ab,Direto,,,9450,,
12/03/2026,ab,Direto,,,8200,,
19/03/2026,ab,Direto,,,7850,,
26/03/2026,ab,Direto,,,8100,,
31/03/2026,ab,Direto,,,6800,,
10/03/2026,spa,Direto,,,2850,,
20/03/2026,spa,Direto,,,2650,,
30/03/2026,spa,Direto,,,2300,,
06/03/2026,eventos,Direto,,,12500,,
15/03/2026,eventos,Direto,,,8500,,
22/03/2026,eventos,Direto,,,9800,,
08/03/2026,loja,Direto,,,1480,,
18/03/2026,loja,Direto,,,1120,,
28/03/2026,loja,Direto,,,980,,
