data,categoria,tipo,valor,descricao,metodo_pgto
2023/08/03,Rendimentos,receita,"R$ 2.362,55",Rendimentos - pagamento,Cartão de Crédito
2023/07/26,Transporte ,despesa,416.28,,Transferência
15-01-2024,alimentação,despesa,78.91,alimentação - pagamento,Boleto
2022-02-14,Vestuário,despesa,510.69,Vestuário - pagamento,Débito
2022/03/17,Rendimentos,receita,3149.88,,Cartão de Crédito
2022/02/10,Impostos,despesa,144.34,,Cartão de Crédito
2022-05-06,Impostos,despesa,"R$ 67,65",Impostos - pagamento,Débito
2022/08/06,Alimentação,despesa,"R$ 292,36",,
2022/02/05,alimentação,despesa,363.15,alimentação - pagamento,Pix
2022-02-25,Transporte ,despesa,681.14,Transporte - pagamento,Pix
02-08-2022,Moradia,despesa,300.88,,Pix
2023/04/04,Alimentação,despesa,381.64,Alimentação - pagamento,Boleto
11-06-2022,Vestuário,despesa,830.17,,Transferência
2024-11-14, Saúde,despesa,379.04,Saúde - pagamento,Cartão de Crédito
19/01/2022,Manutenção,despesa,701.71,Manutenção - pagamento,
26/01/2022,Freelance,receita,837.24,,Boleto
2022-05-26, Saúde,despesa,600.07,Saúde - pagamento,Débito
17/08/2024,Transporte ,despesa,161.19,,Cartão de Crédito
2024-05-21,Rendimentos,receita,4217.3,,Transferência
2023/01/18, Saúde,despesa,161.87,Saúde - pagamento,Transferência
04-03-2024,Vestuário,despesa,283.37,,
20-09-2022,Alimentação,despesa,5,Alimentação - pagamento,
2022-07-20,Educação,despesa,170.0,Educação - pagamento,Boleto
2022-03-07,alimentação,despesa,556.79,,Transferência
30-01-2023,Lazer,despesa,494.78,,Débito
28/09/2023,Moradia,despesa,363.88,,Boleto
30-03-2022,Educação,despesa,408.62,Educação - pagamento,Boleto
10/12/2023,Bônus,receita,7131.9,Bônus - pagamento,Transferência
10-06-2022,Manutenção,despesa,274.22,Manutenção - pagamento,Débito
06/12/2023,assinaturas,despesa,545.52,assinaturas - pagamento,Transferência
29-02-2024,Salário,receita,1905.76,,
2024-10-31,Bônus,receita,4282.94,Bônus - pagamento,
2022-05-02,Impostos,despesa,"R$ 829,89",,
2024/05/11,Alimentação,despesa,552.77,Alimentação - pagamento,Boleto
2023-02-24,Salário,receita,6736.49,Salário - pagamento,
09-01-2023,Moradia,despesa,345.4,Moradia - pagamento,Boleto
21-03-2024,Salário,receita,5302.39,Salário - pagamento,Boleto
14-02-2022,Lazer,despesa,518.05,,Transferência
2023-03-05,Bônus,receita,3312.14,Bônus - pagamento,Boleto
28-11-2024,Transporte ,despesa,348.65,Transporte - pagamento,Transferência
24/10/2022,Manutenção,despesa,354.05,,Boleto
2023/08/29,Lazer,despesa,"R$ 108,77",,Transferência
22/11/2022,Alimentação,despesa,662.36,Alimentação - pagamento,
2024/05/08,Impostos,despesa,514.58,Impostos - pagamento,Pix
2024-06-07,alimentação,despesa,317.83,alimentação - pagamento,
25/04/2024,Impostos,despesa,430.56,,Débito
2024-02-16,alimentação,despesa,450.86,alimentação - pagamento,Transferência
14-08-2022,Manutenção,,740.22,Manutenção - pagamento,
2023-08-08,alimentação,despesa,468.03,alimentação - pagamento,Transferência
06/02/2024,Transporte ,despesa,404.19,,Transferência
19-07-2024,Manutenção,despesa,28.72,,
2022-08-26,Moradia,despesa,725.17,Moradia - pagamento,Cartão de Crédito
25-08-2022,Manutenção,despesa,323.5,Manutenção - pagamento,Pix
2024/10/04, Saúde,despesa,501.01,Saúde - pagamento,Cartão de Crédito
2022-10-27,Bônus,receita,5803.17,,Débito
2022/03/20,Impostos,despesa,223.26,Impostos - pagamento,Cartão de Crédito
18/05/2023,Bônus,receita,6292.85,Bônus - pagamento,Boleto
02-08-2023,Moradia,despesa,593.7,,Pix
2024/04/07,Bônus,receita,704.49,Bônus - pagamento,Transferência
02/02/2022,Educação,despesa,110.7,Educação - pagamento,
2024-07-18,Educação,despesa,299.02,,Transferência
2022/01/08,Moradia,despesa,231.19,Moradia - pagamento,Pix
10/09/2022,assinaturas,despesa,460.08,assinaturas - pagamento,Pix
2022-11-09,Freelance,receita,4810.04,Freelance - pagamento,Pix
2024/03/31,Salário,receita,6355.64,Salário - pagamento,Débito
2024/10/20, Saúde,despesa,5,,Boleto
13/09/2024,assinaturas,despesa,40.13,assinaturas - pagamento,Débito
06/06/2022,Moradia,despesa,204.82,Moradia - pagamento,
10-02-2024,Freelance,receita,911.66,Freelance - pagamento,
2022/12/17,Manutenção,despesa,775.81,,Pix
13/03/2022,Lazer,despesa,405.78,Lazer - pagamento,Cartão de Crédito
25-06-2024,Manutenção,despesa,164.32,Manutenção - pagamento,Boleto
2022/06/20,Vestuário,despesa,194.15,Vestuário - pagamento,Pix
30/07/2023,Vestuário,despesa,465.21,,Débito
2022-07-24,Impostos,despesa,374.29,Impostos - pagamento,Cartão de Crédito
01-01-2022,Transporte ,despesa,784.75,Transporte - pagamento,Cartão de Crédito
2024/10/06,Alimentação,despesa,543.71,Alimentação - pagamento,Cartão de Crédito
2023-01-09,Transporte ,despesa,223.06,,Cartão de Crédito
2024-04-05,alimentação,despesa,"R$ 172,15",alimentação - pagamento,Transferência
2024-10-22,Impostos,despesa,"R$ 293,42",,Pix
06-12-2022,Freelance,receita,8505.31,,Boleto
2024/09/14,Salário,receita,2646.55,Salário - pagamento,Transferência
03/09/2022, Saúde,despesa,351.13,,Cartão de Crédito
2024/01/02, Saúde,despesa,173.51,Saúde - pagamento,Transferência
2022-06-09,Transporte ,despesa,143.14,Transporte - pagamento,Pix
18/01/2023,Salário,receita,4488.64,Salário - pagamento,Pix
09-10-2022,Vestuário,despesa,30957.9,,
22-01-2024,alimentação,despesa,118.81,,
17/02/2022,Manutenção,despesa,5,Manutenção - pagamento,
26-11-2022,Lazer,despesa,213.32,Lazer - pagamento,Cartão de Crédito
2024-09-17,Vestuário,despesa,43.13,Vestuário - pagamento,Boleto
2024-06-30,Vestuário,despesa,316.43,Vestuário - pagamento,Débito
2022/09/18,Impostos,despesa,291.87,Impostos - pagamento,Cartão de Crédito
15/01/2023,Manutenção,despesa,618.97,,Transferência
2024/02/14,Transporte ,despesa,482.11,Transporte - pagamento,Débito
2024-07-22,Freelance,receita,5887.25,Freelance - pagamento,Débito
2023-05-28,Manutenção,despesa,452.6,,Débito
2024/03/01,Manutenção,despesa,685.93,Manutenção - pagamento,Cartão de Crédito
06-05-2023,Moradia,despesa,493.95,Moradia - pagamento,
09/06/2022,assinaturas,despesa,181.69,assinaturas - pagamento,Débito
2024-04-30,Freelance,receita,3709.52,Freelance - pagamento,Cartão de Crédito
13-09-2022,Educação,despesa,5,,Cartão de Crédito
2023/02/12,Salário,receita,7939.0,Salário - pagamento,
2022/05/24,Salário,receita,3738.53,,Boleto
2023-08-28,Lazer,despesa,243.45,,Cartão de Crédito
2024/09/30,Freelance,receita,2967.48,Freelance - pagamento,Transferência
2024/01/30,Salário,receita,1342.5,Salário - pagamento,
2023/02/17,assinaturas,despesa,379.84,assinaturas - pagamento,
2024-03-24,Freelance,receita,3255.43,Freelance - pagamento,Débito
07-09-2022,Impostos,despesa,5,Impostos - pagamento,Débito
20-05-2022,Manutenção,despesa,372.61,Manutenção - pagamento,
